visiospatial_4
post_sal_5
lang_6
visiospatial_9
post_sal_9
precuneus_3
vent_DMN_6
visiospatial_8
precuneus_2
visiospatial_10
vent_DMN_7
vent_DMN_10
sensorimotor_2
high_visual_2
post_sal_7
recn_3
high_visual_1
